oid,matched_via,report_title,db_author,report_author
6829,174 N.W.2d 717,State v. Hapip,Erickstad,"Paulson, Wm."
7072,198 N.W.2d 218,State v. Champagne,Teigen,"Erickstad, Ralph"
8005,278 N.W.2d 358,State v. Gustafson,Pederson,"VandeWalle, Gerald"
8486,310 N.W.2d 709,State v. Kaufman,Erickstad,"Paulson, Wm."
9715,392 N.W.2d 389,State v. Ohnstad,Erickstad,Per Curiam
9594,383 N.W.2d 813,State v. Kautzman,VandeWalle,Per Curiam
9767,396 N.W.2d 729,State v. Kesler,(none),"VandeWalle, Gerald"
6517,142 N.W.2d 140,Hook v. Crary,Burke,Per Curiam
6535,143 N.W.2d 718,Thomas v. City of Devils Lake,Teigen,"Giese, Emil"
6509,141 N.W.2d 790,Writh v. Workmen's Comp. Bureau,Murray,Per Curiam
6720,160 N.W.2d 406,Johnson v. Richland Co.,Paulson,Per Curiam
6557,145 N.W.2d 899,Fraase v. Murray,Teigen,Per Curiam
6780,167 N.W.2d 754,"Tri-State Insurance Company v. Lubbock Machine & Supply Co., et al.",Erickstad,"Strutz, Alvin"
6806,171 N.W.2d 133,Odegaard v. Craig,Teigen,"Coyne, Eugene"
6838,175 N.W.2d 658,Tri-State Ins. Co. v. Lubbock Machine & Supply Co.,Erickstad,"Strutz, Alvin"
6902,181 N.W.2d 730,"Berg, et al. v. Kremers",Teigen,"Englert, Hamilton"
6869,179 N.W.2d 335,"O'Brien, et al. v. Farmers Union Oil Company of Rolla",Erickstad,"Strutz, Alvin"
7072,198 N.W.2d 218,"Municipal Airport Authority of the City of Fargo v. Halland, et al.",Teigen,"Knudson, Harvey"
7064,198 N.W.2d 107,First American Bank and Trust Co. v. Ellwein,Knudson,"Teigen, Obert"
7137,202 N.W.2d 844,"Abbey v. State, et al.",Erickstad,"Paulson, Wm."
7235,214 N.W.2d 109,Estate of Johnson,Beede,"Vogel, Robert"
7172,209 N.W.2d 758,Brink v. Curless,Teigen,"Kelsch, Clemens"
7447,232 N.W.2d 823,Walker v. Link,Vogel,Per Curiam
7818,263 N.W.2d 114,Interest of D.S.,Erickstad,"Paulson, Wm."
8020,279 N.W.2d 415,Saefke v. VandeWalle,(none),Per Curiam
8266,298 N.W.2d 372,Disciplinary Action Against McMahon,Pederson,Per Curiam
8486,310 N.W.2d 709,Disciplinary Action Against Ulland,Erickstad,Per Curiam
8511,311 N.W.2d 191,"Eagan v. D.M.G., et al.",VandeWalle,"Erickstad, Ralph"
8795,329 N.W.2d 123,Discipline of Hatlie,Erickstad,Per Curiam
8981,338 N.W.2d 836,"Ouren v. Krebsbach, et al.",(none),Per Curiam
9039,342 N.W.2d 393,Admission to the Bar of Thompson,Pederson,"Erickstad, Ralph"
9059,344 N.W.2d 489,"Anderson v. State, d.b.a. The Bank of North Dakota",Erickstad,Per Curiam
9169,352 N.W.2d 628,Eisenzimmer v. City of Balfour,Erickstad,"VandeWalle, Gerald"
9169,352 N.W.2d 628,Disciplinary Action Against Dronen,Erickstad,Per Curiam
9208,355 N.W.2d 798,"Allegree, et al. v. Jankowski, et al.",Gierke,"Erickstad, Ralph"
9080,346 N.W.2d 285,Disciplinary Action Against Larson,(none),Per Curiam
9350,365 N.W.2d 847,Matter of Bo,Gierke,"Meschke, Herbert"
9409,370 N.W.2d 513,Disciplinary Action Against Kraemer (CONSOLIDATED W/19870061),Erickstad,Per Curiam
9351,366 N.W.2d 444,"Federal Land Bank of Saint Paul v. Wallace, et al.",Erickstad,"VandeWalle, Gerald"
9370,367 N.W.2d 148,First National Bank of Belfield v. Burich,Erickstad,"Levine, Beryl"
9452,373 N.W.2d 392,"Meyer v. Hansen, et al.",Erickstad,"Levine, Beryl"
9270,358 N.W.2d 791,Disciplinary Action Against Myhre,Erickstad,Per Curiam
9409,370 N.W.2d 513,"Benefiet v. Hoiby, et al.",Erickstad,"VandeWalle, Gerald"
9452,373 N.W.2d 392,Disciplinary Action Against Ostfield,Erickstad,Per Curiam
9472,374 N.W.2d 607,Disciplinary Action Against Montgomery,Erickstad,Per Curiam
9420,370 N.W.2d 567,Disciplinary Action Against Moug,Erickstad,Per Curiam
9467,374 N.W.2d 347,Disciplinary Action Against Cieminski,Erickstad,Per Curiam
9565,380 N.W.2d 654,Prock v. Prock,(none),Per Curiam
9519,378 N.W.2d 678,Disciplinary Action Against White,Erickstad,Per Curiam
9519,378 N.W.2d 678,Disability of Williams,Erickstad,Per Curiam
20440,393 N.W.2d 537,Bishop v. Gajeski,(none),Per Curiam
9753,395 N.W.2d 148,Gillan v. Saffell,VandeWalle,"Levine, Beryl"
9732,392 N.W.2d 828,Disciplinary Action Against Bailey,Erickstad,Per Curiam
9767,396 N.W.2d 729,Matter of Schirado,(none),Per Curiam
9910,408 N.W.2d 737,Powell v. Hjelle,Erickstad,"Levine, Beryl"
9889,406 N.W.2d 364,Disciplinary Board v. Britton,Erickstad,Per Curiam
20425,414 N.W.2d 606,Dizayee v. Dizayee,Appeals,Per Curiam
20444,417 N.W.2d 855,Garrett v. Nagel,Appeals,Per Curiam
20443,417 N.W.2d 184,"Jepson v. ND Workmen's Compensation Bureau, et al.",Appeals,Per Curiam
10005,417 N.W.2d 183,Disciplinary Board v. Williams,Erickstad,Per Curiam
10097,421 N.W.2d 466,City of Bismarck v. Hoopman,Levine,"Erickstad, Ralph"
10027,417 N.W.2d 853,Disciplinary Board v. Overboe,Erickstad,Per Curiam
10043,418 N.W.2d 789,"Disciplinary Board v. Teevens, Montgomery and Johnson",Erickstad,Per Curiam
