opinion_id,citation,case_name,date_filed,reporter,status,db_words,src_words,diff_words,similarity,source_path
767,21 N.D. 348,Heard v. Holbrook,1911-03-28,NW,minor,2344,2345,2,0.9994,NW/131/251.md
1,13 N.D. 359,Barnum v. Gorham Land Co.,1904-09-10,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0359-Barnum-v-Gorham-Land-Co.doc
2,13 N.D. 305,Simensen v. Simensen,1904-07-26,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0305-Simensen-v-Simensen.doc
3,13 N.D. 406,State ex rel. Fisk v. Porter,1904-10-24,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0406-State-ex-rel-Fisk-v-Porter.doc
4,13 N.D. 344,Braseth v. County of Bottineau,1904-08-27,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0344-Braseth-v-Bottineau-County.doc
5,13 N.D. 361,Hanson v. Carlblom,1904-09-10,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0361-Hanson-v-Carlblom.doc
6,13 N.D. 387,Lough v. White,1904-10-07,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0387-Lough-v-White.doc
7,13 N.D. 396,Marshall-Wells Hardware Co. v. New Era Coal Co.,1904-10-19,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0396-Marshall-Wells-Hardware-Co-v-New-Era-Coal-Co.doc
8,13 N.D. 373,Cughan v. Larson,1904-09-10,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0373-Cughan-v-Larson.doc
9,13 N.D. 391,State v. Mattison,1904-10-19,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0391-State-v-Mattison.doc
10,13 N.D. 363,Nelson v. Grondahl,1904-09-10,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0363-Nelson-v-Grondahl.doc
11,13 N.D. 357,Regan v. Sorenson,1904-09-08,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0357-Regan-v-Sorenson.doc
12,13 N.D. 176,Clements v. Miller,1904-06-11,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0176-Clements-v-Miller.doc
13,13 N.D. 157,Reeves & Co. v. Bruening,1904-05-31,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0157-Reeves-And-Co-v-Bruening.doc
14,13 N.D. 167,Helgebye v. Dammen,1904-05-31,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0167-Helgebye-v-Dammen.doc
15,13 N.D. 211,State ex rel. Attorney General v. District Court of Fourth Judicial District,1904-06-14,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0211-State-ex-rel-Frich-v-District-Court-of-Fourth-Judicial-Dist.doc
16,13 N.D. 204,Hayes v. Cooley,1904-06-14,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0204-Hayes-v-Cooley.doc
17,13 N.D. 153,Ward v. McQueen,1904-05-28,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0153-Ward-And-Murray-v-McQueen.doc
18,13 N.D. 221,West v. Northern Pacific Railway Co.,1904-06-14,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0221-West-v-Northern-Pac-R-Co.doc
19,13 N.D. 149,Burton v. Walker,1904-05-27,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0149-Burton-v-Walker.doc
20,13 N.D. 232,Kennedy v. Stonehouse,1904-06-20,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0232-Kennedy-v-Stonehouse.doc
21,13 N.D. 337,State v. Cruikshank,1904-08-27,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0337-State-v-Cruikshank.doc
22,13 N.D. 327,Purcell v. Farm Land Co.,1904-08-05,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0327-Purcell-v-Farm-Land-Co.doc
23,13 N.D. 312,Josephson v. Sigfusson,1904-08-02,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0312-Josephson-v-Sigfusson.doc
24,13 N.D. 267,Wrege v. Jones,1904-07-05,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0267-Wrege-v-Jones.doc
25,13 N.D. 242,Picton v. County of Cass,1904-06-23,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0242-Picton-v-Cass-County.doc
26,13 N.D. 257,Dowagiac Manufacturing Co. v. Hellekson,1904-07-05,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0257-Dowagiac-Mfg-Co-v-Hellekson.doc
27,13 N.D. 284,Cruser v. Williams,1904-07-12,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0284-Cruser-v-Williams.doc
28,13 N.D. 199,Conrad v. Adler,1904-03-26,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0199-Conrad-v-Adler.doc
29,13 N.D. 277,Van Dusen v. Bigelow,1904-07-05,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0277-Van-Dusen-v-Bigelow.doc
30,13 N.D. 288,Darling v. Purcell,1904-07-12,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0288-Darling-v-Purcell.doc
31,13 N.D. 356,State v. Hartzell,1904-09-07,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0356-State-v-Hartzell.doc
32,13 N.D. 319,Hogen v. Klabo,1904-08-02,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0319-Hogen-v-Klabo.doc
33,13 N.D. 513,In re Smith's Estate,1904-12-05,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0513-In-re-Smith's-Estate.doc
34,13 N.D. 432,Meehan v. Great Northern Railway Co.,1904-11-05,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0432-Meehan-v-Great-Northern-Ry-Co.doc
35,13 N.D. 411,Halloran v. Holmes,1904-10-25,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0411-Halloran-v-Holmes.doc
36,13 N.D. 430,Davis v. Dinnie,1904-11-01,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0430-Davis-v-Dinnie.doc
37,13 N.D. 420,State ex rel. Mitchell v. Larson,1904-10-31,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0420-State-ex-rel-Mitchell-v-Larson.doc
38,13 N.D. 383,State v. Carroll,1904-10-07,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0383-State-v-Carroll.doc
39,13 N.D. 426,Johnson v. Twichell,1904-11-01,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0426-Johnson-v-Twichell.doc
40,13 N.D. 182,Salemonson v. Thompson,1904-02-26,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0182-Salemonson-v-Thompson.doc
41,13 N.D. 494,State v. Fordham,1904-11-30,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0494-State-v-Fordham.doc
42,13 N.D. 508,Thurston v. Osborne-McMillan Elevator Co.,1904-12-03,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0508-Thurston-v-Osborne-McMillan-Elevator-Co.doc
43,13 N.D. 502,Teigen v. Drake,1904-12-03,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0502-Teigen-v-Drake.doc
44,13 N.D. 458,Carroll v. Township of Rye,1904-11-23,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0458-Carroll-v-Rye-Tp.doc
45,13 N.D. 387,Cairncross v. Omlie,1904-10-10,NW,identical,801,801,0,1.0000,NW/101/897.md
46,13 N.D. 453,Gussner v. Hawks,1904-11-23,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0453-Gussner-v-Hawks.doc
47,13 N.D. 444,Thompson v. Travelers Insurance,1904-11-17,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0444-Thompson-v-Travelers'-Ins-Co.doc
48,13 N.D. 516,Dowagiac Manufacturing Co. v. Mahon,1904-12-06,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0516-Dowagiac-Mfg-Co-v-Mahon.doc
49,13 N.D. 577,Tracy v. Scott,1904-11-17,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0577-Tracy-v-Scott.doc
50,13 N.D. 525,Lauder v. Jones,1904-02-24,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0525-Lauder-v-Jones.doc
51,13 N.D. 467,Douglas v. City of Fargo,1904-11-26,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0467-Douglas-v-City-of-Fargo.doc
52,13 N.D. 638,Loomis v. Lewis,1904-09-03,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0638-Loomis-v-Lewis.doc
53,13 N.D. 601,Northwestern Fire & Marine Insurance v. Lough,1904-12-21,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0601-Northwestern-Fire-And-Marine-Ins-Co-v-Lough.doc
54,13 N.D. 610,Fox v. Jones,1905-01-03,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0610-Fox-v-Jones.doc
55,13 N.D. 574,Moore v. Weston,1904-12-10,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0574-Moore-v-Weston.doc
56,13 N.D. 587,Bosard v. City of Grand Forks,1904-12-19,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0587-Bosard-v-City-of-Grand-Forks.doc
57,13 N.D. 559,Puls v. Grand Lodge of the Ancient Order of United Workmen,1904-12-10,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0559-Puls-v-Grand-Lodge-A-O-U-W.doc
58,13 N.D. 604,Waldner v. Bowden State Bank,1904-12-27,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0604-Waldner-v-Bowdon-State-Bank.doc
59,13 N.D. 580,Brown v. Smith,1904-12-14,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0580-Brown-v-Smith.doc
60,13 N.D. 351,Patton v. County of Cass,1904-09-03,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0351-Patton-v-Cass-County.doc
61,13 N.D. 591,Morrison v. Lee,1904-12-21,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0591-Morrison-v-Lee.doc
62,13 N.D. 629,Leonard v. Fleming,1905-01-14,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0629-Leonard-v-Fleming.doc
63,13 N.D. 616,Haugen v. Skjervheim,1905-01-05,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0616-Hougen-v-Skjervheim.doc
64,13 N.D. 622,Canfield v. Orange,1905-01-09,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0622-Canfield-v-Orange.doc
65,13 N.D. 368,State ex rel. Poul v. McLain,1905-02-15,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0368-State-v-McLain.doc
66,13 N.D. 655,State v. Currie,1905-03-06,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0655-State-v-Currie.doc
67,13 N.D. 664,State v. Scholfield,1905-03-06,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0664-State-v-Scholfield.doc
68,13 N.D. 639,Beidler & Robinson Lumber Co. v. Coe Commission Co.,1905-02-21,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0639-Beidler-And-Robinson-Lumber-Co-v-Coe-Commission-Co.doc
69,13 N.D. 649,State v. Wisnewski,1905-03-01,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./13/0649-State-v-Wisnewski.doc
70,14 N.D. 139,State v. Erickson,1905-04-22,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0139-State-v-Erickson.doc
71,14 N.D. 88,Red River Valley National Bank v. City of Fargo,1905-02-08,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0088-Red-River-Valley-Nat-Bank-v-City-of-Fargo.doc
72,14 N.D. 95,Freeman v. Wood,1905-02-16,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0095-Freeman-v-Wood.doc
73,14 N.D. 19,Welch v. Northern Pacific Railway Co.,1904-12-16,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0019-Welch-v-Northern-Pac-Ry-Co.doc
74,14 N.D. 46,Green v. Tenold,1905-01-11,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0046-Green-v-Tenold.doc
75,14 N.D. 116,Clemens v. Royal Neighbors of America,1905-02-28,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0116-Clemens-v-Royal-Neighbors-of-America.doc
76,14 N.D. 39,Benesh v. Travelers' Insurance,1905-01-11,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0039-Benesh-v-Travelers'-Ins-Co.doc
77,14 N.D. 110,Jewett Bros. v. Huffman,1905-02-18,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0110-Jewett-Bros-v-Huffman.doc
78,14 N.D. 57,Avery Mfg. Co. v. Smith,1905-01-23,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0057-Avery-Mfg-Co-v-Smith.doc
79,14 N.D. 69,Harshman v. Northern Pacific Railway Co.,1905-01-26,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0069-Harshman-v-Northern-Pac-R-Co.doc
80,14 N.D. 10,Torgrinson v. Norwich School District No. 31,1904-10-25,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0010-Torgrinson-v-Norwich-School-District-No-31.doc
81,14 N.D. 81,Becker v. Lough,1905-02-04,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0081-Becker-v-Lough.doc
82,14 N.D. 203,State v. Sanders,1905-05-02,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0203-State-v-Sanders.doc
83,14 N.D. 200,State v. O'Malley,1905-05-02,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0200-State-v-O'Malley.doc
84,14 N.D. 77,County of Dickey v. Denning,1905-02-04,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0077-Dickey-County-v-Denning.doc
85,14 N.D. 73,County of Dickey v. Hicks,1905-02-04,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0073-Dickey-County-v-Hicks.doc
86,14 N.D. 66,Carter v. Carter,1905-01-26,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0066-Carter-v-Carter.doc
87,14 N.D. 127,Logan v. Freerks,1905-04-22,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0127-Logan-v-Freerks.doc
88,14 N.D. 288,State v. Johnson,1905-05-24,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0288-State-v-Johnson.doc
89,14 N.D. 291,State v. Momberg,1905-05-24,westlaw,non-comparable,0,0,0,1.0000,/Users/jerod/refs/nd/opin/N.D./14/0291-State-v-Momberg.doc
